Reference, Value, Footprint, Datasheet, MFG, MFG code
J1,USB,Connect:USB_B,,FCI,10033526-N3212MLF
J2,HEADER,Pin_Headers:Pin_Header_Angled_1x04,,FCI,68015-204HLF
R1,430R,Resistors_SMD:R_0402,,Panasonic,ERJ-2GEJ431X
D1,LED,LEDs:LED-0603,,Osram,LB Q39G-N1P1-35-1
C2,470n,Capacitors_SMD:C_0402,,TDK,C1005X5R1C474K050BC
C1,1u,Capacitors_SMD:C_0402,,TDK,C1005X5R1C105K050BC
U1,CP2104,usb2uart:qfn24,,Silicon Labs,CP2104-F03-GM
D2,BLED,usb2uart:bled_0603,,Avago,HSMF-C167
C3,100n,Capacitors_SMD:C_0402,,TDK,C1005X5R1C104K050BA
R3,220R,Resistors_SMD:R_0402,,Panasonic,ERJ-2GEJ221X
C4,1u,Capacitors_SMD:C_0402,,TDK,C1005X5R1C105K050BC
R2,220R,Resistors_SMD:R_0402,,Panasonic,ERJ-2GEJ221X
